SA_CodeSANDRE;SA_CodeCAS;SA_Libelle;SA_Statut;SA_Usage_principal;SA_NQECMA;SA_NQEMA;SA_PNEC;SA_DT50;SA_Koc;SA_Gus;SA_Classification;SA_Biocide;SA_RgSiris2018;SA_Solubilite_mgl;SA_HydrolysePH7;SA_DU2015;SA_DU2017;UsageAgricole;Source;MaJ
1083;2921-88-2;Chlorpyriphos-éthyl;;Insecticides;0.1;0.03;0.033;;;0.11353939;T. T+. CMR;;50;1.05;TS;0.292358;0.2;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1092;52888-80-9;Prosulfocarbe;;Herbicides;;;0.4;10;1693;0.771343042;N Organique;;9;13;TS;3.991435;4;Désherbant céréales et pommes de terre;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1093;59669-26-0;Thiodicarbe;non autorisé;Insecticides;;;;;;1.315732205;Autre;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1094;91465-08-6;Lambda-cyhalothrine;;Insecticides;;;0.00019;;;-1.628489846;T. T+. CMR;;57;0.005;inst;0.031906;0.018233799;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1100;30560-19-1;Acéphate;non autorisé;Insecticides;;;;;;1.76485721;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1101;15972-60-8;Alachlore;non autorisé;Herbicides;0.7;0.3;0.25;;;2.185182859;;;;;;;;Maïs prélevée;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1102;116-06-3;Aldicarbe;non autorisé;Insecticides;;;;;;4.218500146;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1103;309-00-2;Aldrine;non autorisé;Insecticides;;0.01;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1104;834-12-8;Amétryne;non autorisé;Herbicides;;;;;;2.352793304;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1105;61-82-5;Aminotriazole;;Herbicides;;0.08;0.08;18;91;2.561959224;N Organique;;;;;3.481559;3.438127955;désherbant EAJ, cultures fruitières et généraux;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1107;1912-24-9;Atrazine;non autorisé;Herbicides;2;0.6;0.6;;;2.924795996;;;;;;;;interdit en France;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1108;6190-65-4;Atrazine déséthyl;;Métabolites;;;;;;;;;;;;;;SA mère : Atrazine (herbicide);Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1109;1007-28-9;Atrazine déisopropyl;;Métabolites;;;;;;;;;;;;;;SA mère : Atrazine (herbicide);Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1110;2642-71-9;Azinphos éthyl;non autorisé;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1111;86-50-0;Azinphos méthyl;non autorisé;Insecticides;;;;;;1.352452204;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1112;1861-40-1;Benfluraline;;Herbicides;;;0.43;;;-0.056035315;Autre;;45;0.0648;TS;1.152566;1.08;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1113;25057-89-0;Bentazone;;Herbicides;;;70;10;52;2.283996656;Autre;;11;570;stable;1.248848;1.242995488;Désherbant pois, lin, luzerne, maïs, soja, sorgho, haricot;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1119;42576-02-3;Bifénox;;Herbicides;;;0.0125;;;0.179792396;Autre;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1120;82657-04-3;Bifenthrine;;Insecticides;;;0.000019;;;-0.846623251;Autre;;53;0.0001;inst;0.036096;0.036095951;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1123;4824-78-6;Bromophos éthyl;non autorisé;Insecticides;;;;;;2.501153848;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1124;2104-96-3;Bromophos méthyl;;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1125;1689-84-5;Bromoxynil;;Herbicides;;;0.5;;;1.369118802;T. T+. CMR;;34;90;stable;0.4016;0.394564388;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1126;33629-47-9;Butraline;non autorisé;Herbicides;;;;;;-1.34678057;Autre;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1127;191906;Captafol;non autorisé;Fongicides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1128;133-06-2;Captane;;Fongicides;;;9.8;;;1.212084192;T. T+. CMR;;58;5.2;inst;1.819183;1.81609632;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1129;10605-21-7;Carbendazime;non autorisé;Fongicides;;;0.15;18;223;2.073327492;T. T+. CMR;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1130;1563-66-2;Carbofuran;non autorisé;Insecticides;;;0.02;21;22;3.513900009;T. T+. CMR;;;;;;;Insecticide maïs;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1131;786-19-6;Carbophénothion;non autorisé;Insecticides;;;;;;-1.03246345;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1132;57-74-9;Chlordane;non autorisé;Insecticides;;;0.00005;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1133;1698-60-8;Chloridazone;;Herbicides;;;10;36;199;2.647499211;N Organique;;19;422;TS;1.633345;1.559546752;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1134;24934-91-6;Chlorméphos;non autorisé;Insecticides;;;;;;1.44286881;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1136;15545-48-9;Chlortoluron;;Herbicides;;0.1;0.1;34;208;2.575850542;N Organique;;12;74;TS;2.170008;2.064627301;herbicide céréales;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1137;21725-46-2;Cyanazine;non autorisé;Herbicides;;;;;;2.072587184;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1138;68085-85-8;Cyhalothrine;non autorisé;Insecticides;;;0.002;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1139;57966-95-7;Cymoxanil;;Fongicides;;;4.4;8;44;2.128174292;N Organique;;45;780;inst;0.36069;0.107759276;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1140;52315-07-8;Cyperméthrine;;Insecticides;;;0.00008;;;-1.888256825;N Organique;;37;0.009;TS;0.034147;0.031638139;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1141;94-75-7;2,4-D;non autorisé;Herbicides;;2.2;2.2;;;;N Organique;;3;23180;TS;1.16;0.573852536;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1142;94-82-6;2,4-DB;;Herbicides;;;30;16;271;1.88689299;N Organique;;26;4385;TS;1.8;1.8;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1143;53-19-0;DDD 24';;Métabolites;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1144;72-54-8;DDD 44';;Métabolites;;0.025;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1145;3424-82-6;DDE 24';;Métabolites;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1146;72-55-9;DDE 44';;Métabolites;;0.025;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1147;789-02-6;DDT 24';;Insecticides;;0.025;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1148;50-29-3;DDT 44';non autorisé;Insecticides;;0.01;;;;-3.891838267;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1149;52918-63-5;Deltaméthrine;;Insecticides;;;0.0001;;;-3.980276686;T. T+. CMR;;57;0.0002;inst;0.007069;0.022708784;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1150;298-03-3;Déméton-O;;Métabolites;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1151;867-27-6;Déméton-O-Méthyl;;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1152;126-75-0;Déméton-S;;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1153;919-86-8;Demeton-S-Méthyl;non autorisé;Insecticides;;;;;;0.976074381;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1154;17040-19-6;Demeton-S-methylsulfone;non autorisé;Insecticides;;;;;;0.976074381;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1155;1014-69-3;Desmétryne;non autorisé;Herbicides;;;;;;1.740451254;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1156;2303-16-4;Diallate;non autorisé;Herbicides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1157;333-41-5;Diazinon;;Insecticides;;;;;;1.496019998;N Organique;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1159;97-17-6;Dichlorofenthion;non autorisé;Insecticides;;;;;;2.135813132;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1169;120-36-5;Dichlorprop;non autorisé;Herbicides;;;1.3;;;;Autre;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1170;62-73-7;Dichlorvos;;Insecticides;;;0.0006;;;0.69267905;T. T+. CMR;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1171;51338-27-3;Diclofop-méthyl;non autorisé;Herbicides;;;1.5;;;-0.382737473;N Organique;;50;0.8;stable;0.681293;0.681292902;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1172;115-32-2;Dicofol;non autorisé;Insecticides;;;0.0013;;;0.28004765;N Organique;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1173;60-57-1;Dieldrine;non autorisé;Insecticides;;0.01;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1175;60-51-5;Diméthoate;;Insecticides;;;0.1;7;34;2.086142329;Autre;;;;;0.296942702;0.296942702;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1176;1420-07-1;Dinoterbe;non autorisé;Herbicides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1177;330-54-1;Diuron;;Herbicides;1.8;0.2;0.2;78;920;1.960611459;T. T+. CMR;;;;;;;interdit en usage agricole / autorisé biocide;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1178;959-98-8;Endosulfan alpha;;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1179;33213-65-9;Endosulfan bÃªta;;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1180;2778.04.3;Endothion;;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1181;72-20-8;Endrine;non autorisé;Insecticides;;0.01;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1182;759-94-4;EPTC;non autorisé;Herbicides;;;;;;2.068459978;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1183;563-12-2;Ethion;non autorisé;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1184;26225-79-6;Ethofumésate;;Herbicides;;;30;56;147;3.203873893;N Organique;;30;50;TS;0.784979;0.788110002;désherbant haricots;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1185;60168-88-9;Fénarimol;non autorisé;Fongicides;;;;;;2.120276905;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1186;299-84-3;Fenchlorphos;non autorisé;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1187;122-14-5;Fénitrothion;non autorisé;Insecticides;;;0.0087;;;0.711933679;N Organique;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1188;39515-41-8;Fenpropathrine;non autorisé;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1189;67564-91-4;Fenpropimorphe;;Fongicides;;;0.39;;;0.487944704;N Organique;;50;4.32;TS;0.518771;0.513643615;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1190;55-38-9;Fenthion;non autorisé;Insecticides;;;;;;1.106033781;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1192;133-07-3;Folpel;;Fongicides;;;3.9;3;304;0.723853259;N Organique;;59;0.8;inst;0.925394;0.863774347;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1193;102851-06-9;Fluvalinate-tau;;Insecticides;;;0.0064;;;-3.335339499;N Organique;;53;0.00103;inst;0.051091;0.058559886;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1194;85509-19-9;Flusilazole;non autorisé;Fongicides;;;0.3;;;1.537279204;T. T+. CMR;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1197;76-44-8;Heptachlore;non autorisé;Insecticides;;;0.00003;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1198;1024-57-3;Somme Heptachlore époxyde cis/trans;;Métabolites;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1199;118-74-1;Hexachlorobenzène;non autorisé;Fongicides;0.05;0.01;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1200;319-84-6;Hexachlorocyclohexane alpha;non autorisé;Insecticides;;;0.2;;;7.155651745;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1201;319-85-7;Hexachlorocyclohexane bÃªta;;Insecticides;;;0.2;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1202;319-86-8;Hexachlorocyclohexane delta;;Insecticides;;;0.2;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1203;58-89-9;Hexachlorocyclohexane gamma;non autorisé;Insecticides;;;0.2;;;1.996573291;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1205;1689-83-4;Ioxynil;non autorisé;Herbicides;;;1.3;;;1.027346323;T. T+. CMR;;;;;0.339532;0.469858546;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1206;36734-19-7;Iprodione;;Fongicides;;;0.35;84;372;2.750674611;N Organique;;44;12.2;inst;0.749212;0.752010903;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1207;465-73-6;Isodrine;;Insecticides;;0.01;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1208;34123-59-6;Isoproturon;;Herbicides;1;0.3;0.32;22;122;2.568913966;T. T+. CMR;;;;;1.197115;1.199657176;Désherbant céréales;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1209;330-55-2;Linuron;;Herbicides;;1;1;48;436;2.287351418;T. T+. CMR;;30;63.8;TS;0.676575;0.686631408;désherbant pomme de terre, poireaux, carottes;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1210;121-75-5;Malathion;;Insecticides;;;0.006;;;;N Organique;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1211;07/01/8018;Mancozèbe;non autorisé;Fongicides;;;0.219;0.1;998;-1.000869459;N Organique;;10;11;inst;2.420673;1.565670824;Fongicide pommes de terre, artichaut, haricot;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1212;94-74-6;2,4-MCPA;;Herbicides;;0.5;0.5;25;74;2.978686228;Autre;;11;293900;stable;0.799532;1.168274703;Désherbant céréales et graminées;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1213;94-81-5;2,4-MCPB;;Herbicides;;;43;;;1.66194973;N Organique;;41;4400;stable;1.6;0.68954485;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1214;93-65-2;Mécoprop;;Herbicides;;;20.29;8.2;31;2.292428435;N Organique;;;;;;;désherbant céréales et gazon graminées;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1215;41394-05-2;Métamitrone;;Herbicides;;;4;11;122;1.992850874;N Organique;;16;1680;TS;2.8;1.337232709;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1216;18691-97-9;Méthabenzthiazuron;non autorisé;Herbicides;;;0.033;130;527;2.702019953;N Organique;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1217;950-37-8;Méthidathion;non autorisé;Insecticides;;;;;;1.181396361;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1218;16752-77-5;Méthomyl;non autorisé;Insecticides;;;3.82;7;25;2.198995799;T. T+. CMR;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1219;841-06-5;Méthoprotryne;;Herbicides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1220;953-17-3;Carbophenthion Méthyl;;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1221;51218-45-2;Métolachlore total;non autorisé;Herbicides;;;0.07;21;226;2.246410921;;;;;;;;Désherbant maïs prélevée;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1222;19937-59-8;Métoxuron;non autorisé;Herbicides;;;;;;2.837282208;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1223;30667-99-3;Méthoxychlore op';;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1225;21087-64-9;Métribuzine;;Herbicides;;;1.58;12;38;2.611852154;N Organique;;22;1050;TS;0.35;0.53572481;désherbant pmme de terre, carotte;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1226;7786-34-7;Mévinphos;non autorisé;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1227;1746-81-2;Monolinuron;non autorisé;Herbicides;;;1;;;3.021025638;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1228;150-68-5;Monuron;non autorisé;Herbicides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1229;1836-75-5;Nitrofène;;Herbicides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1230;1113-02-6;Ométhoate;;Insecticides;;;0.00084;;;2.736055349;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1231;301-12-2;Oxydéméton-méthyl;;Insecticides;;;0.56;;;0.880128384;T. T+. CMR;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1232;56-38-2;Parathion éthyl;non autorisé;Insecticides;;;;;;0.205858758;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1233;298-00-0;Parathion méthyl;non autorisé;Insecticides;;;;;;1.619788758;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1234;40487-42-1;Pendiméthaline;;Herbicides;;;0.02;99;15744;-0.393369793;N Organique;;18;0.33;stable;1.503525;1.427031273;Désherbant maïs et céréales, et certains légumes;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1235;87-86-5;Pentachlorophénol;non autorisé;Insecticides;1;0.4;0.35;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1236;13684-63-4;Phenmédiphame;;Herbicides;;;4.1;;;1.327133207;N Organique;;56;1.8;inst;0.384896;0.420716352;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1237;2310-17-0;Phosalone;non autorisé;Insecticides;;;;;;0.206356294;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1238;13171-21-6;Phosphamidon;non autorisé;Insecticides;;;;;;2.677973218;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1253;67747-09-5;Prochloraz;;Fongicides;;;0.55;346;2225;1.657178759;N Organique;;24;34.4;stable;0.577009;0.576888447;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1254;7287-19-6;Prométryne;non autorisé;Herbicides;;;;;;2.254575079;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1255;2312-35-8;Propargite;;Acaricides;;;;;;0.254645021;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
